parche	olor	flores	abejas
A1	2.5509	6	1
A1	2.6896	15	0
A1	2.7678	11	0
A1	3.3659	52	4
A1	3.3756	21	0
A1	3.8461	10	1
A1	3.9732	27	2
A2	2.3504	11	0
A2	2.6806	1	0
A2	2.7043	10	0
A2	2.7214	3	0
A2	2.768	10	0
A2	3.23	13	0
A2	3.4081	17	3
A2	3.8999	10	2
A2	3.9629	10	0
A2	4.1788	16	4
A2	5.03195	5	0
E	2.2277	26	0
E	2.4214	38	0
E	2.618	10	0
E	3.0552	16	0
E	3.1044	9	0
E	4.4497	34	0
P	2.9332	19	0
P	3.1366	17	0
P	3.1902	11	0
P	3.7721	19	0
P	3.844	8	1
P	4.3365	17	0
P	5.4045	19	2
S	2.0761	9	0
S	2.3254	32	1
S	2.4739	8	2
S	2.6565	6	2
S	3.0213	19	0
S	3.0608	15	1
S	3.1582	24	2
S	3.2538	4	0
S	3.3257	18	1
