TOTCONES	DBH
19	9.4
42	10.6
40	7.7
68	10.6
5	8.7
0	10.1
21	8.1
114	11.6
37	10.1
92	13.3
84	10
102	13.4
98	9.7
63	7.4
9	8.7
31	8.6
35	7.9
216	14.2
27	9.5
297	15.9
36	6
127	10.6
23	7.3
46	10.3
27	8.4
66	10.2
11	13.8
20	9.4
141	8.1
3	9.6
22	7.3
39	7.4
96	10.3
206	13.4
40	9.2
231	13.9
64	10.9
202	17.4
54	10.2
32	8.2
108	11.3
142	16.1
82	12.3
65	8.3
153	12.4
123	12.5
131	11.3
43	7.8
98	11.6
37	10
34	7
10	5.7
65	7.7
35	8.9
50	8.5
19	8.5
73	10.7
33	10.2
61	10.8
9	9
146	9.4
0	7.6
44	10.6
42	10
0	8
61	7.4
17	9.1
53	6.7
27	9.7
0	6.8
74	8.6
36	9.1
28	6.3
56	6.7
46	10.9
0	9.5
15	9.9
26	6.8
46	9.8
15	7.7
105	12.1
0	8.2
62	10
24	9.6
25	9.2
41	8.2
138	11.3
77	11.6
228	15.7
28	9.1
45	8.9
57	8.7
109	11
28	6.6
17	7.1
91	9
69	12.4
87	12.1
10	7.5
65	9
50	8
27	10.9
30	9.2
86	10.1
119	12.1
22	7
8	6.8
54	8.6
104	11.6
14	6.6
16	6.7
5	6.8
53	8.5
40	7.8
32	7.9
114	9.8
39	6.2
37	6.7
111	15.4
226	9.2
156	12.9
42	6.7
86	9.6
94	8.4
54	8
1	8.7
14	6.7
44	9.2
108	9.5
116	8
14	5.5
73	8.5
3	5.7
16	5.6
87	8
61	6.5
48	9.6
0	6.1
17	7.9
5	5.9
88	11
11	8.2
133	12.8
121	12.8
166	12.5
171	13.7
63	11.8
23	6.3
4	6.3
51	8.2
10	6.2
14	6.7
78	9.8
47	9.4
31	6.7
42	6
24	4.9
42	9.6
55	7.5
19	8.4
63	7.4
127	9.9
9	7.4
74	9.5
120	13.9
85	6.9
51	9.4
19	7.4
131	12.8
7	5.8
23	7.2
7	5.6
9	6.9
23	11.3
55	9.6
48	6.8
13	6.9
2	6.6
9	4.8
3	4.4
4	4.8
16	8.5
1	7
88	8.7
8	6.6
27	8.6
16	5.3
184	10.4
14	6.4
22	5.4
25	8.2
52	5.5
2	6.2
134	14.7
81	10.5
85	14.4
3	5.8
56	6.1
17	6.2
8	6.2
10	7.2
6	6
69	10.6
58	8.7
1	7.5
22	7.3
3	5.2
11	6.9
22	6.6
2	6.7
37	5.2
8	6.9
15	7.5
61	9
6	5.9
18	6.5
9	6.6
109	9.8
54	4.7
4	4.2
11	4.8
30	6.7
0	6.5
0	6.7
3	5.9
0	5.4
16	6.9
22	6.5
9	6
56	12
17	7.5
64	6.4
38	7.3
59	7.3
37	6.4
22	7
41	5.9
1	9.1
22	6.7
16	4
17	6.5
4	4.7

