Circuito	Mesa	Votos.nulos	Votos.en.blanco	Votos.recurridos	Votos.impugnados	HUMANISTA	GEN	PRIMERO.LA.GENTE	ENCUENTRO.VECINAL.CORDOBA	PAIS.1A	PAIS.2B	PAIS.3C	PAIS.4D	FRENTE.DE.IZQUIERDA.Y.DE.LOS.TRABAJADORES	SOMOS	UNION.POR.CORDOBA	FRENTE.CORDOBA.CIUDADANA	IZQUIERDA.AL.FRENTE.POR.EL.SOCIALISMO	CAMBIEMOS.506M	CAMBIEMOS.506R	long	lat	votos
1	1082	241	102	2	0	91	194	261	517	12	8	17	8	665	68	1089	1172	327	4517	885	-64.1844124481	-31.4169474015	10176
2	1017	98	52	4	0	48	52	100	183	7	5	4	5	259	31	528	457	145	1591	323	-64.1795574478	-31.4082511158	3892
3	5211	271	133	10	4	124	250	352	696	23	10	11	20	1072	105	1485	1562	442	5221	999	-64.2005879138	-31.4063453456	12790
4	9146	299	140	5	9	99	276	295	712	19	6	15	17	923	120	1305	1477	491	6142	1201	-64.1785761716	-31.4324288499	13551
5	13025	246	147	5	2	92	121	292	373	11	14	17	20	593	77	2054	797	238	3481	635	-64.1301172163	-31.4241680048	9215
6	9144	96	53	2	9	32	57	132	150	6	4	4	6	257	34	711	323	78	1429	232	-64.1522511055	-31.4078130663	3615
7	670	2	1	0	0	0	0	2	0	0	0	0	0	1	0	17	1	2	24	4	-64.199900679	-31.3266807203	54
8	2694	31	6	0	0	3	6	8	5	0	1	0	0	17	1	179	41	13	115	18	-64.0677533211	-31.3804935602	444
9	17051	72	65	0	10	28	57	144	281	2	1	6	9	253	31	345	455	90	1962	331	-64.2219826346	-31.389836137	4142
10	62370	356	149	9	0	94	146	419	501	15	14	26	16	816	122	2432	1341	372	3972	705	-64.2051137099	-31.4347990798	11505
11	23513	137	43	0	0	36	24	73	57	10	6	10	6	175	24	1146	269	97	905	135	-64.2696431998	-31.4294848555	3153
12	58131	208	103	0	0	62	47	191	182	19	13	10	9	386	47	1739	492	171	2372	305	-64.1005439233	-31.4573194352	6356
13	65072	193	74	1	0	62	101	223	228	12	9	15	14	312	26	1223	588	132	2561	395	-64.156876387	-31.3912734344	6169
14	49429	67	54	3	5	20	58	132	283	12	2	7	4	182	20	327	408	69	2344	357	-64.2724005399	-31.351371757	4354
