co2	month	year
315.62	1	1959
316.38	2	1959
316.71	3	1959
317.72	4	1959
318.29	5	1959
318.15	6	1959
316.54	7	1959
314.8	8	1959
313.84	9	1959
313.26	10	1959
314.8	11	1959
315.58	12	1959
316.43	1	1960
316.97	2	1960
317.58	3	1960
319.02	4	1960
320.03	5	1960
319.59	6	1960
318.18	7	1960
315.91	8	1960
314.16	9	1960
313.83	10	1960
315	11	1960
316.19	12	1960
316.93	1	1961
317.7	2	1961
318.54	3	1961
319.48	4	1961
320.58	5	1961
319.77	6	1961
318.57	7	1961
316.79	8	1961
314.8	9	1961
315.38	10	1961
316.1	11	1961
317.01	12	1961
317.94	1	1962
318.56	2	1962
319.68	3	1962
320.63	4	1962
321.01	5	1962
320.55	6	1962
319.58	7	1962
317.4	8	1962
316.26	9	1962
315.42	10	1962
316.69	11	1962
317.69	12	1962
318.74	1	1963
319.08	2	1963
319.86	3	1963
321.39	4	1963
322.25	5	1963
321.47	6	1963
319.74	7	1963
317.77	8	1963
316.21	9	1963
315.99	10	1963
317.12	11	1963
318.31	12	1963
319.57	1	1964
320.07	2	1964
320.73	3	1964
321.77	4	1964
322.25	5	1964
321.89	6	1964
320.44	7	1964
318.7	8	1964
316.7	9	1964
316.79	10	1964
317.79	11	1964
318.71	12	1964
319.44	1	1965
320.44	2	1965
320.89	3	1965
322.13	4	1965
322.16	5	1965
321.87	6	1965
321.39	7	1965
318.81	8	1965
317.81	9	1965
317.3	10	1965
318.87	11	1965
319.42	12	1965
320.62	1	1966
321.59	2	1966
322.39	3	1966
323.87	4	1966
324.01	5	1966
323.75	6	1966
322.39	7	1966
320.37	8	1966
318.64	9	1966
318.1	10	1966
319.79	11	1966
321.08	12	1966
322.07	1	1967
322.5	2	1967
323.04	3	1967
324.42	4	1967
325	5	1967
324.09	6	1967
322.55	7	1967
320.92	8	1967
319.31	9	1967
319.31	10	1967
320.72	11	1967
321.96	12	1967
322.57	1	1968
323.15	2	1968
323.89	3	1968
325.02	4	1968
325.57	5	1968
325.36	6	1968
324.14	7	1968
322.03	8	1968
320.41	9	1968
320.25	10	1968
321.31	11	1968
322.84	12	1968
324	1	1969
324.42	2	1969
325.64	3	1969
326.66	4	1969
327.34	5	1969
326.76	6	1969
325.88	7	1969
323.67	8	1969
322.38	9	1969
321.78	10	1969
322.85	11	1969
324.11	12	1969
325.03	1	1970
325.99	2	1970
326.87	3	1970
328.13	4	1970
328.07	5	1970
327.66	6	1970
326.35	7	1970
324.69	8	1970
323.1	9	1970
323.16	10	1970
323.98	11	1970
325.13	12	1970
326.17	1	1971
326.68	2	1971
327.18	3	1971
327.78	4	1971
328.92	5	1971
328.57	6	1971
327.34	7	1971
325.46	8	1971
