Sample	C1	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P24	P25	N1	CR1	CR2	CR3	CR4	CR5	CR6	CR7	CR8	CR9	CR10	CR11	CR12	CR13	CR14	CR15	CR16	CR17	CR18	CR19	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR27	CR28	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M14	M15	M16	M17	I1	I2	I3	I4	I5	week	angle1	angle2	exposure	salinity	temperature	NAP	penetrability	grainsize	humus	chalk	sorting1	Beach
1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	32	0	0	0	0	0	0	0	50	0	2	0	0	0	0	0	0	0	0	0	0	0	0	30	9	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	32	96	10	29.4	17.5	0.045	253.9	222.5	0.05	2.05	69.83	1
2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	22	0	0	0	0	0	0	0	12	0	0	0	1	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	62	96	10	29.4	17.5	-1.036	226.9	200	0.3	2.5	59	1
3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	1	0	0	0	0	7	0	0	0	2	25	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	2	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	65	96	10	29.4	17.5	-1.336	237.1	194.5	0.1	3.45	59.22	1
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	92	1	0	0	2	0	0	1	1	0	0	1	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	55	96	10	29.4	17.5	0.616	248.6	221	0.15	1.6	67.75	1
5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	25	13	1	0	0	0	4	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	96	10	29.4	17.5	-0.684	251.9	202	0.05	2.45	57.76	1
6	0	0	0	0	0	1	0	0	0	0	0	0	1	0	889	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	2	0	1	129	89	10	29.6	20.8	1.19	250.1	192.5	0.1	2.5	53.075	2
7	0	0	0	1	1	0	0	0	0	0	0	0	3	0	21	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	126	89	10	29.6	20.8	0.82	257.1	205.5	0.1	1.85	54.41	2
8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	163	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	89	10	29.6	20.8	0.635	247.9	211.5	0.1	1.7	60.405	2
9	0	0	0	21	11	3	0	34	0	0	0	0	14	16	49	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	16	18	0	0	0	0	1	0	0	0	0	0	1	26	89	10	29.6	20.8	0.061	248.9	205.5	0.15	2.3	58.81	2
10	0	2	0	2	0	0	0	7	0	0	2	0	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	6	0	0	1	0	2	0	0	0	0	0	0	1	143	89	10	29.6	20.8	-1.334	257.9	197	0	2.6	59.575	2
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	1	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	41	42	11	27.9	15.8	-0.976	268.4	330.5	0.05	3.4	101.33	3
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26	42	11	27.9	15.8	1.494	274.4	272.5	0	2.55	66.17	3
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	30	42	11	27.9	15.8	-0.201	272.9	296.5	0.1	2.2	83.84	3
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	38	42	11	27.9	15.8	-0.482	261.4	304	0.05	1.95	78.075	3
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	42	11	27.9	15.8	0.167	258.1	323.5	0.1	1.9	105.955	3
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	31	11	28.1	18.775	1.768	258.4	293.5	0.05	7.1	87.685	4
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2	13	31	11	28.1	18.775	-0.03	253.4	361	0	45.75	248.6	4
18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	49	31	11	28.1	18.775	0.46	268.6	330.5	0.05	38.95	153.625	4
