Farm	Sex	Length	infec
AL	f	164	0
AL	m	216	0
AL	m	208	0
AL	m	206	1
AL	m	204	0
AL	m	200	0
AL	m	199	1
AL	m	197	1
AL	m	196	1
AL	m	196	0
AL	m	192	1
AL	m	191	0
AL	m	190	0
AL	m	180	0
AL	m	178	1
AU	m	195	1
AU	m	190	1
AU	m	188	1
AU	m	185	1
AU	m	185	1
AU	m	184	1
AU	m	184	1
AU	m	184	1
AU	m	180	1
AU	m	180	0
AU	m	178	1
AU	m	176	1
AU	m	175	1
AU	m	175	1
AU	m	174	1
AU	m	174	1
AU	m	173	1
AU	m	173	1
AU	m	172	1
AU	m	170	1
AU	m	170	1
AU	m	170	0
AU	m	169	1
AU	m	169	1
AU	m	169	1
AU	m	167	1
AU	m	161	1
AU	m	160	1
AU	m	158	1
AU	m	155	0
AU	m	153	1
AU	m	153	0
BA	f	168.5	1
BA	f	168	1
BA	f	168	1
BA	f	165.2	0
BA	f	164.3	1
BA	f	164	1
BA	f	161	1
BA	f	161	1
BA	f	159	1
BA	f	156	1
BA	f	156	0
BA	f	154	1
BA	f	153.5	1
BA	f	150	0
BA	f	148	1
BA	f	148	0
BA	f	145	1
BA	f	145	0
BA	f	143	1
BA	f	140	1
BA	f	139	1
BA	f	138	1
BA	f	138	1
BA	f	137	1
BA	f	137	0
BA	f	129	1
BA	f	125	0
BA	f	122	0
BA	m	202	1
BA	m	187	1
BA	m	187	1
BA	m	187	1
BA	m	186	1
BA	m	185	1
BA	m	183	1
BA	m	182	1
BA	m	181	1
BA	m	180	1
BA	m	178	1
BA	m	178	1
BA	m	177	1
BA	m	176	1
BA	m	175	1
BA	m	173	1
BA	m	170	1
BA	m	170	1
BA	m	169	1
BA	m	159	1
BA	m	159	1
BA	m	132	0
BE	f	122	1
BE	m	180	1
BE	m	175	1
BE	m	170.5	1
BE	m	166.6	1
BE	m	165	1
BE	m	162	1
BE	m	160	1
BE	m	158	1
BE	m	158	1
BE	m	156	1
BE	m	154	1
BE	m	145	1
CB	f	174.8	1
CB	f	174	1
CB	f	171	1
CB	f	169	1
CB	f	168	1
CB	f	168	1
CB	f	167	1
CB	f	165	1
CB	f	164	1
CB	f	164	1
CB	f	164	1
CB	f	163	1
CB	f	162	1
CB	f	162	1
CB	f	162	1
CB	f	162	1
CB	f	162	0
CB	f	161	1
CB	f	160	1
CB	f	160	1
CB	f	160	0
CB	f	159	1
CB	f	157	1
CB	f	156.5	1
CB	f	155.2	1
CB	f	155	0
CB	f	154.5	1
CB	f	154	1
CB	f	153.5	1
CB	f	153.5	1
CB	f	153	1
CB	f	153	1
CB	f	153	1
CB	f	152.8	1
CB	f	149	1
CB	f	147	1
CB	f	146	1
CB	f	143	1
CB	f	143	1
CB	f	142	0
CB	f	139.1	1
CB	f	139	0
CB	f	139	0
CB	f	138.2	1
CB	f	136	0
CB	f	135.5	0
CB	f	133.5	0
CB	f	132	0
CB	f	131.5	0
CB	f	131	0
CB	f	128.5	1
CB	f	127.9	0
CB	f	126	0
CB	f	120.5	0
CB	f	116	0
CB	f	114.5	0
CB	f	111.9	0
CB	f	110.3	0
CB	m	197	1
CB	m	190	1
CB	m	189	1
CB	m	187	1
CB	m	183	1
CB	m	179	0
CB	m	177	1
CB	m	170	0
CB	m	169.8	1
CB	m	169.5	1
CB	m	165	0
CB	m	163.5	1
CB	m	160	1
CB	m	158	1
CB	m	157	1
CB	m	156.5	0
CB	m	156	0
CB	m	154	1
CB	m	151.5	1
CB	m	151	1
CB	m	150	0
CB	m	148	1
CB	m	148	1
CB	m	147	1
CB	m	137.5	1
CB	m	130.5	1
CB	m	121.5	0
CRC	m	116.5	0
HB	f	174	1
HB	f	153	0
HB	f	147	0
HB	m	172	0
HB	m	170	0
HB	m	165	0
HB	m	163	0
HB	m	163	0
HB	m	162	1
HB	m	159	0
HB	m	159	0
HB	m	153	0
HB	m	152	0
HB	m	149.8	0
HB	m	145	0
HB	m	143	0
HB	m	142	0
LN	f	177	1
LN	f	176	1
LN	f	165	1
LN	f	165	1
LN	m	199	1
LN	m	198	1
LN	m	191	1
LN	m	190	1
LN	m	190	1
LN	m	189	1
LN	m	189	1
LN	m	184	1
LN	m	184	1
LN	m	182	1
LN	m	181	1
LN	m	181	1
LN	m	181	1
LN	m	179	1
LN	m	178	1
LN	m	178	1
LN	m	177	1
LN	m	176	1
LN	m	175	1
LN	m	174	1
LN	m	174	1
LN	m	172	1
LN	m	170	1
LN	m	166	1
LN	m	163	0
LN	m	160	1
LN	m	145	1
LN	m	118	0
LN	m	103	0
MAN	f	163	0
MAN	f	159	0
MAN	f	151	1
MAN	f	146	1
MAN	f	146	0
MAN	f	143	1
MAN	f	129	0
MAN	f	115	0
MAN	m	199	1
MAN	m	199	0
MAN	m	190	0
MAN	m	188	1
MAN	m	187	0
MAN	m	187	0
MAN	m	182	0
MAN	m	181	1
MAN	m	180	0
MAN	m	178	0
MAN	m	176	0
MAN	m	174	0
MAN	m	174	0
MAN	m	173	1
MAN	m	172	1
MAN	m	171	1
MAN	m	170	0
MAN	m	168	1
MAN	m	128	1
MB	f	169	1
MB	f	168.5	1
MB	f	168	1
MB	f	166.5	1
MB	f	164.2	1
MB	f	159.7	1
MB	f	157	1
MB	f	156.5	1
MB	f	155.5	1
MB	f	154	1
MB	f	153	1
MB	f	152.2	1
MB	f	150	1
MB	f	148	1
MB	f	146	1
MB	f	142.2	0
MB	f	115	1
MB	m	190	1
MB	m	184	0
MB	m	182	0
MB	m	181.9	1
MB	m	181.5	1
MB	m	180.7	1
MB	m	180.3	1
MB	m	179.4	1
MB	m	179	1
MB	m	179	0
MB	m	176	1
MB	m	172.5	1
MB	m	172	1
MB	m	172	1
MB	m	171	1
MB	m	168	1
MB	m	153	1
MO	f	191	1
MO	f	181	1
MO	f	178	1
MO	f	178	1
MO	f	174	0
MO	f	173	0
MO	f	173	0
MO	f	173	0
MO	f	171	1
MO	f	171	1
MO	f	171	0
MO	f	171	0
MO	f	170.5	1
MO	f	170	0
MO	f	170	0
MO	f	170	0
MO	f	169	1
MO	f	169	0
MO	f	168	1
MO	f	168	1
MO	f	168	1
MO	f	168	0
MO	f	168	0
MO	f	167	1
MO	f	167	1
MO	f	167	1
MO	f	167	0
MO	f	167	0
MO	f	166.5	0
MO	f	166	1
MO	f	166	0
MO	f	166	0
MO	f	165	1
MO	f	165	1
MO	f	165	1
MO	f	165	1
MO	f	165	0
MO	f	165	0
MO	f	164	1
MO	f	164	0
MO	f	163	1
MO	f	163	1
MO	f	163	1
MO	f	163	0
MO	f	162	1
MO	f	162	0
MO	f	162	0
MO	f	162	0
MO	f	162	0
MO	f	162	0
MO	f	161	1
MO	f	161	0
MO	f	160.5	1
MO	f	160	0
MO	f	159.5	0
MO	f	159	1
MO	f	159	1
MO	f	159	1
MO	f	159	1
MO	f	159	1
MO	f	159	0
MO	f	158.5	1
MO	f	158.5	0
MO	f	158	1
