rew	sig1	sig2	sig3	planta
-0.8434632806	0.2480752629	-0.6965765121	0.889472329	288
0.1730654867	NA	-0.1051672614	-0.1454940988	288
-1.0181323126	-0.1892114475	0.3036117049	0.3778806331	288
-0.0248427684	-0.1853454545	0.7326537612	1.6174560144	288
-0.555596731	-0.4383531873	0.0484857544	-0.5114613328	288
-0.9828986444	NA	1.1182299147	-0.2517493582	288
-0.7610015073	NA	0.9529754925	0.3857821983	288
-0.7625008125	NA	0.6486091836	0.1221194411	288
-1.5196498232	NA	0.9268854519	1.5820375946	288
0.2765175274	-0.3464284762	1.0631626057	1.2121195779	288
0.011065781	0.6518368668	-0.3134676259	1.3372970068	292
-0.0346630232	-0.3887001395	0.6462469063	2.8600118107	292
3.2870471309	2.1137209987	1.4725715126	0.593025007	292
4.764612179	1.1708636789	1.5508941295	-0.4739635537	292
-1.8683129976	1.6191141083	1.22033279	0.5284955572	292
0.0440504894	0.0388554405	0.4722783055	0.9537938428	292
-0.048156765	0.8000119854	0.4925938905	1.508151028	292
-1.8683129976	1.0636643618	1.2319341964	1.6980658427	292
2.2412819201	2.0516364512	1.1362357174	2.757499398	292
0.3858920192	1.7076880615	0.7738098816	3.1258232392	292
-0.6475580803	-2.1273464274	-0.2256958998	-0.4524075292	298
-0.6475580803	-2.2996001653	-0.5981482905	1.3406239817	298
-1.0711117329	-0.8046912182	-0.7122725325	-0.4212171399	298
-1.1985526557	-1.6882967918	-0.8866085987	0.3067665455	298
-1.2420325	-1.318231765	-0.7771039212	-0.147781394	298
-0.6430601649	-1.5852354483	-0.9751677506	-0.9153422178	298
NA	-1.3910603959	-0.6136868257	-1.9851032576	298
-1.0178864074	-1.9851176172	-1.2910304757	-0.1573464467	298
-1.4122036123	-2.0792442081	-0.8921205791	-0.0745879472	298
-1.5546375863	-1.1104467977	-0.9222527387	-0.3696490296	298
-0.192974021	-0.2261525899	0.7616835247	0.0610555901	299
0.1227483227	-1.0336840896	0.6348554801	1.2071984276	299
0.1237378862	-0.4004156204	1.7024998384	0.0649370608	299
-0.8853093196	0.2550163992	0.3693880045	0.2965083731	299
-0.6692876728	0.3830912667	0.5178440103	1.6559934731	299
-1.2135439903	-0.3427227143	0.4549549385	-1.1033162971	299
-1.1792365973	-1.7505311383	0.5964815975	0.4786602464	299
-0.4675177647	-0.025496324	0.6692397389	0.6542967939	299
-0.5622636566	-0.4103976777	0.8422634288	0.6868041107	299
-0.6297355563	0.167546509	1.0664172989	0.8520438619	299
-0.7638244087	-1.007998232	-0.9220254031	-1.3442822579	300
-0.4576702204	-1.5705446486	-1.2300466762	-1.3996306475	300
-0.7418320259	-1.7121291709	-1.0523740282	-1.6177684207	300
-1.2197045945	-1.1268327156	-0.4429734504	-1.8196272552	300
-0.9281573596	-1.7352239072	-0.1889181685	-1.9704787502	300
-0.4962017011	-1.0154954044	-1.1337381381	-1.9455177117	300
-0.281952254	-1.2680725403	-1.1080005114	-1.714356788	300
-0.6189527411	-1.3307213219	-0.7186151285	-2.1235007698	300
-0.8123235116	-1.2062855032	-0.4670505845	-2.2754375274	300
-1.5731625688	-1.4211182569	-0.1689922638	-1.2183918015	300
-1.0896152091	0.9006323775	-0.723978929	0.1059697506	301
-1.597437992	0.8775173335	-0.5523201105	0.5484574063	301
-1.3084085737	1.2185010388	-0.3967772727	0.2856263928	301
-1.1562038385	1.2036308515	-0.6687541348	1.4585236531	301
-1.2675669519	1.4459707383	-0.4589839088	1.237972945	301
-1.3738681028	1.0961532585	-0.5373065257	0.2367614496	301
-1.0405452006	0.701725216	-0.3465920035	-0.5108375251	301
-1.0862385336	1.1255991741	-0.379716381	0.2446630149	301
-1.0338731464	1.5425533426	-0.1438036194	0.2222059346	301
-1.2158952971	1.0268081265	-0.0223825652	-0.2863360343	301
0.4909514879	-0.8771337915	0.1569405309	-0.4004235471	302
0.687089947	0.2251362036	0.550128467	-0.6451641348	302
-0.4156082273	-0.943244564	0.386186421	-0.5991409827	302
-1.1479757438	-0.640660644	0.4571072356	-0.5743272952	302
0.7927120845	-0.9145481298	0.6630978179	0.0935629069	302
0.1966531583	-0.7072254741	0.6996868688	-1.3444526621	302
0.8084772668	-0.8267334086	0.4271850562	-0.8921227058	302
0.0932076924	-0.5829953407	0.5191038915	-1.0032298036	302
-0.2676551304	0.4678753453	0.7096609286	-0.4018790986	302
-1.1410479781	-0.8142014217	-0.0441155165	-1.173460017	302
-0.7440040289	-0.5682560004	-1.9679541654	0.375038842	303
-1.2418355221	-0.6638249565	-1.3597989933	-1.103801481	303
-0.563975707	-0.6570175466	-1.5669969617	0.9093648661	303
-0.1965214518	-1.6031590557	-1.3739201621	0.9336240578	303
-1.2205809603	-1.0541459023	-1.4560224227	0.4820565332	303
-0.2918044423	-0.9824470831	-2.0702145258	0.3894557331	303
-1.3828773742	-0.7731855479	-1.9914719484	0.0503122338	303
-1.2655574265	-0.3101932954	-1.6995469668	0.3840493989	303
0.0566610542	-0.2112648382	-1.3974904403	0.0125372068	303
-0.397542174	-0.6270472641	-1.2266190475	1.5183398885	303
-1.4216060573	0.6011228056	1.4705242056	-0.1422364359	304
-0.1196959067	1.0541698785	2.1131161315	-0.5084809179	304
-0.3198256227	-0.2106828662	2.0723799715	-0.3722828847	304
-1.1685492635	0.3228813369	1.6056464683	0.2578322904	304
