point	x	y	Bor	Wet
1	2109.7	2093.52	15.1910905063	-0.0264378
2	2190.18	2105.71	15.4303349962	-0.0234048
3	2064.48	2052.77	15.2752523165	-0.0189264
4	2277.34	2103.42	15.1910905063	-0.0280431
5	2347.91	2074.81	8.7705801931	-0.0292287
6	2437.21	2086.95	18.2574185835	-0.0229209
7	2550	2051.68	13.6930639376	-0.018168
8	2457.04	2059.33	16.9030850946	-0.0179054
9	2103.09	2019.63	16.6666666667	-0.0265979
10	2550	1946.86	12.4034734589	-0.0153049
11	2120	1996.47	16.5144564769	-0.0265979
12	2090	1964.58	14.1421356237	-0.0210237
13	2510	1923.75	9.1287092918	-0.018133
14	2100	1932.53	15.2752523165	-0.0255292
15	2076.59	1906.07	13.8013111868	-0.0142196
16	2524.34	1847.65	17.88854382	-0.0122156
17	2092.02	1847.61	12.2474487139	-0.0165557
18	2478.01	1728.49	10.7417231106	-0.02904
19	2520	1689.98	15.4303349962	-0.0132491
20	2040.24	1704.23	12.9099444874	-0.0171531
21	2054.53	1620.42	13.6082763488	-0.0220714
22	2471.42	1638.11	14.1421356237	-0.0300619
23	2429.47	1596.13	11.9522860933	-0.0348369
24	2371.07	1571.97	12.9099444874	-0.0297147
25	2508.92	1584.08	9.5346258925	-0.0336724
26	2493.47	1552.04	11.9522860933	-0.0294323
27	2478	1974.41	13.4839972493	-0.0349435
28	2299.4	1998.74	19.6116135138	-0.0258728
29	1036.68	1710.32	12.0971675782	-0.0218772
30	1396.19	1658.48	14.6385010942	-0.0175881
31	1027.87	1644.19	15.3392997769	-0.0161019
32	972	1483.14	14.90711985	-0.00915358
33	1389.54	1543.82	11.7444043903	-0.0231415
34	928.57	1257.12	9.7590007295	-0.0253583
35	1159.09	1357.4	15.2752523165	-0.0233848
36	1366.39	1289.08	14.90711985	-0.0333576
37	1261.65	1206.38	11.7444043903	-0.0279067
38	1290	1566.99	11.4707866935	-0.0181897
39	2311.7	266.74	14.1421356237	-0.0542595
40	2350	465.25	13.6930639376	-0.0539028
41	2328	407.39	11.1803398875	-0.0551005
42	2126.34	479.38	10	-0.0436858
43	2080	490.3	11.9522860933	-0.0454962
44	1990	500.15	8.4515425473	-0.0484387
45	1890	519.69	7.2547625011	-0.0468653
46	1850	546.98	7.9056941504	-0.0410975
47	1870	377.92	11.5470053838	-0.0450668
48	1840	99.91	10.5409255339	-0.0366838
49	2065.3	121.8	10.5409255339	-0.0591203
50	2210	114.16	10.5409255339	-0.0676636
51	2079.48	72.75	10.5409255339	-0.0633417
52	1420	1101.52	9.5346258925	-0.0407169
53	1540	1118.88	7.9056941504	-0.0324332
54	1640	1053.7	8.1649658093	-0.0532038
55	1657.38	1104.36	8.032193289	-0.0511058
56	1421.2	995.77	9.1287092918	-0.0432219
57	1377.73	942.15	8.7705801931	-0.0411792
58	1555.95	962.38	6.3245553203	-0.0419989
59	1864.58	952.26	10	-0.051301
60	1377.78	852.23	9.1287092918	-0.046977
61	1360.37	749.39	10.9544511501	-0.0358334
62	1343	642.21	6.4549722437	-0.0378971
63	1740.01	640.78	6.7419986246	-0.0487358
64	1660	617.58	10.5409255339	-0.0412133
65	1830	832.01	7.9056941504	-0.0457234
66	1840	711.73	6.9006555934	-0.0444422
67	1834.21	611.73	7.9056941504	-0.0689834
68	1590	1053.71	9.0045033778	-0.0563041
69	1653.04	859.46	6.2017367295	-0.0485155
70	1339.24	592.08	7.6696498885	-0.0411473
71	1478.61	519.98	10	-0.0433057
72	1650	526.31	10.5409255339	-0.0452756
73	1809	541.91	9.5346258925	-0.0497276
74	1378.4	457.42	12.9099444874	-0.0457152
75	1397.18	363.42	11.1803398875	-0.056462
76	1650	458.89	8.7705801931	-0.0417571
77	1649.32	327.4	11.1803398875	-0.0456438
78	1790	424.47	10	-0.0457966
79	1735.45	327.37	10	-0.0504208
80	1353.35	299.22	8.7705801931	-0.0445785
81	1373.67	235.05	10.5409255339	-0.047709
82	1513.08	325.85	4.1885390829	-0.0696551
83	1530	188.01	9.5346258925	-0.053692
