Year	LayingAP	MSA
1951	NA	0.086
1952	NA	0.127
1953	245	0.101
1954	NA	0.109
1955	NA	0.087
1956	NA	0.086
1957	248	0.072
1958	NA	0.082
1959	242	0.078
1960	NA	0.078
1961	NA	0.065
1962	244	0.086
1963	243	0.137
1964	242	0.098
1965	244	0.111
1966	NA	0.098
1967	NA	0.056
1968	243	0.065
1969	244	0.082
1970	NA	0.067
1971	NA	0.051
1972	245	0.064
1973	245	0.071
1974	243	0.063
1975	246	0.106
1976	242	0.087
1977	246	0.078
1978	248	0.064
1979	247	0.08
1980	246	0.037
1981	247	0.054
1982	250	0.06
1983	249	0.09
1984	NA	0.088
1985	243	0.082
1986	244	0.061
1987	248	0.096
1988	244	0.048
1989	245	0.051
1990	248	0.034
1991	249	0.054
1992	247	0.041
1993	247	0.056
1994	246	0.076
1995	247	0.065
1996	245	0.054
1997	247	NA
1998	246	NA
1999	246	NA
2000	248	NA
2001	246	NA
2002	244	NA
2003	248	NA
2004	245	NA
2005	249	NA
