year	abund	rain
1956	1.4142135624	15.16
1957	NA	15.48
1958	1.4142135624	16.26
1959	3.1622776602	21.25
1960	2	10.94
1961	3.1622776602	19.93
1962	3.4641016151	12.63
1963	3.1622776602	20.09
1964	2.8284271247	10.02
1965	NA	30.91
1966	4.1231056256	12.49
1967	2.6457513111	32.7
1968	6.6332495807	18.4
1969	7.0710678119	25.21
1970	5.0990195136	18.61
1971	3.1622776602	20.13
1972	NA	15.71
1973	2.6457513111	10.27
1974	1	18.68
1975	6.164414003	13.74
1976	9.5916630466	12.83
1977	10.6301458127	11.5
1978	9	19.15
1979	8.8881944173	26.82
1980	8.4852813742	27.87
1981	9.1651513899	12.85
1982	8.1853527719	34.04
1983	6.5574385243	13.05
1984	7.2111025509	8.56
1985	8.1853527719	20
1986	7.4161984871	18.39
1987	6.4807406984	24.31
1988	6	26.79
1989	5.6568542495	40.63
1990	9.8994949366	35.2
1991	10.7703296143	16.09
1992	10.3440804328	16.98
1993	11.3578166916	12.69
1994	15.4919333848	13.93
1995	17.1464281995	13.45
1996	18.6547581062	31
1997	14.4913767462	23.08
1998	11.4455231423	6.76
1999	10.295630141	9.66
2000	11.7473401245	9.72
2001	11.4891252931	10.53
2002	8.5440037453	15.07
2003	9.5916630466	13.83
